home,away,hclass,aclass,over8.5
1,0,a,d,1
1,0,a,b,1
1,0,b,c,0
1,0,a,d,0
1,0,c,d,1
1,0,c,d,1
0,1,d,b,0
1,0,a,c,1
1,0,b,c,1
1,0,a,c,0
1,0,a,b,0
1,1,a,a,0
1,0,c,d,1
0,1,d,a,0
1,0,c,d,1
0,1,d,a,0
0,1,d,b,1
0,1,b,a,1
1,1,d,d,0
1,0,a,d,1
1,0,a,b,1
1,1,d,d,1
0,1,c,a,0
1,1,a,a,0
1,0,c,d,0
1,0,b,d,0
1,0,c,d,0
1,1,a,a,1
0,1,c,b,0
1,0,b,c,1
1,1,a,a,0
1,0,b,d,1
0,1,c,a,1
1,0,b,c,0
1,0,a,d,0
0,1,d,a,0
1,1,a,a,0
0,1,d,c,1
1,0,a,c,1
0,1,d,b,1
0,1,d,a,0
0,1,c,a,0
1,0,a,b,1
0,1,d,b,1
1,1,c,c,0
0,1,d,a,1
0,1,c,a,1
1,0,a,c,0
0,1,d,a,1
0,1,c,a,1
1,0,a,b,1
0,1,c,b,1
1,1,d,d,1
0,1,d,a,1
1,0,a,d,1
1,0,b,c,1
1,0,b,d,1
1,0,a,c,0
1,0,a,d,0
1,1,a,a,1
1,1,c,c,0
1,0,a,d,0
1,0,b,d,1
1,0,a,c,1
1,1,b,b,0
1,0,a,d,0
1,0,b,d,1
1,0,b,c,1
1,1,c,c,1
1,1,a,a,1
1,1,a,a,1
0,1,d,a,0
0,1,c,b,0
1,0,a,c,0
0,1,d,a,1
0,1,d,a,1
1,0,b,c,1
